,precision,recall,f1-score,support
0,0.976131830008673,0.9814091384722706,0.9787633707278894,28670.0
1,0.8275080906148867,0.7879815100154083,0.8072612470402526,3245.0
accuracy,0.9617421275262416,0.9617421275262416,0.9617421275262416,0.9617421275262416
macro avg,0.9018199603117798,0.8846953242438395,0.893012308884071,31915.0
weighted avg,0.9610203139712976,0.9617421275262416,0.9613256645907633,31915.0
