epoch,loss,accuracy,precision,recall,f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.4205528497695923,0.7631016969680786,0.28582116961479187,0.8770687580108643,0.4311410947708468,0.3541516959667206,0.9084286093711853,1.0,0.07479224354028702,0.13917525733890085
2,0.21884799003601074,0.9228193163871765,0.5761597156524658,0.93035489320755,0.7116200633885125,0.24095337092876434,0.9389393925666809,0.9801587462425232,0.3909774422645569,0.558981613688417
3,0.1628999263048172,0.940787672996521,0.6426444053649902,0.9494881629943848,0.7664980517764186,0.18253761529922485,0.9537051320075989,0.9386823177337646,0.5694499611854553,0.7088670097055813
4,0.12402468174695969,0.9557890295982361,0.7078258395195007,0.967377781867981,0.8174946398648383,0.14367282390594482,0.958522617816925,0.8363886475563049,0.7222002148628235,0.7751114813388859
5,0.09621185809373856,0.965620219707489,0.7577602863311768,0.9761790633201599,0.8532129185265059,0.1337927281856537,0.9548801779747009,0.823225200176239,0.6929165124893188,0.7524709991608416
6,0.07910400629043579,0.9716129302978516,0.7916151881217957,0.9808667302131653,0.8761375708582766,0.13584452867507935,0.9565251469612122,0.8569269776344299,0.673130214214325,0.7539893843106964
7,0.07010414451360703,0.9742372035980225,0.8080497980117798,0.9814407229423523,0.8863449888644929,0.22519320249557495,0.9376077055931091,0.6395696401596069,0.8468539714813232,0.7287587274130055
8,0.05897822231054306,0.9788394570350647,0.8366899490356445,0.9856500625610352,0.9050819225426647,0.4341442883014679,0.89891117811203,0.49401330947875977,0.8816778659820557,0.6332243867480882
9,0.0562739223241806,0.9802984595298767,0.8461980223655701,0.9868937134742737,0.9111464443369318,0.19777065515518188,0.9523735046386719,0.752601146697998,0.7728531956672668,0.7625927373041272
10,0.03352487087249756,0.9887881278991699,0.9061790704727173,0.9933033585548401,0.9477431329685594,0.29016655683517456,0.9273852705955505,0.5957870483398438,0.8282548189163208,0.6930463284569142
11,0.025944961234927177,0.9914124011993408,0.9260544776916504,0.9955993294715881,0.9595684858606268,0.29420676827430725,0.9320068955421448,0.6197396516799927,0.810051441192627,0.7022298579283706
12,0.019835451617836952,0.99396812915802,0.9470956921577454,0.9967473745346069,0.9712874056212853,0.25346916913986206,0.946811854839325,0.7079331278800964,0.7874950766563416,0.7455976169451953
