epoch,loss,accuracy,precision,recall,f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.3031914532184601,0.8930907249450684,0.48726654052734375,0.8511432409286499,0.6197408719612992,0.43843403458595276,0.7818424105644226,0.3077700436115265,0.9639889001846313,0.4665772665458927
2,0.1707528829574585,0.9388488531112671,0.6374803781509399,0.9333205819129944,0.7575416270050338,0.23383493721485138,0.8985586762428284,0.49339762330055237,0.9315393567085266,0.6451082553952443
3,0.1120443269610405,0.9597939848899841,0.7301138639450073,0.9632641077041626,0.8306385124290874,0.5142093300819397,0.8669512867927551,0.4232262670993805,0.9489513039588928,0.5853777623312513
4,0.08124884217977524,0.9725137948989868,0.8007867932319641,0.9736917614936829,0.8788153581303343,0.14734996855258942,0.9519818425178528,0.7276864051818848,0.8227146863937378,0.7722882754472049
5,0.05766288563609123,0.9803963899612427,0.8493014574050903,0.9828757047653198,0.9112194887489825,0.1306794434785843,0.9579743146896362,0.7981952428817749,0.7700831294059753,0.7838872248409454
6,0.04588904604315758,0.9850378036499023,0.8820306658744812,0.9856500625610352,0.9309659491193384,0.31832143664360046,0.9277769327163696,0.5920237302780151,0.8694103956222534,0.7043924545578819
7,0.039521850645542145,0.9875836968421936,0.9005669355392456,0.9877547025680542,0.942147998100359,0.23415692150592804,0.9548801779747009,0.7740135788917542,0.7685002088546753,0.7712470407200672
8,0.02387279085814953,0.9932630658149719,0.9443888068199158,0.9926337003707886,0.9679104423644309,0.287367582321167,0.9360410571098328,0.6315479874610901,0.8492283225059509,0.7243881933599119
9,0.018617091700434685,0.9949669241905212,0.958060622215271,0.9943556785583496,0.9758707912092555,0.2651996612548828,0.9506893157958984,0.7285508513450623,0.7997625470161438,0.7624976462645623
10,0.011611348949372768,0.9967490434646606,0.9721056222915649,0.9968430399894714,0.9843189335300869,0.3646893799304962,0.9490835070610046,0.7130948305130005,0.8124257922172546,0.7595264514598339
11,0.007723495829850435,0.9981199502944946,0.9835988283157349,0.998278021812439,0.9908840627757086,0.4050372242927551,0.9470468163490295,0.7001703381538391,0.813217282295227,0.7524716230574694
12,0.005055645480751991,0.9986976385116577,0.9889141321182251,0.998469352722168,0.9936687719563967,0.41982871294021606,0.9494751691818237,0.7243380546569824,0.7902651429176331,0.7558667738201191
