epoch,loss,accuracy,precision,recall,f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.26311469078063965,0.9230546951293945,0.7217606902122498,0.6740380525588989,0.6970835481315458,0.23817533254623413,0.9387519359588623,0.7338739633560181,0.7086670398712158,0.7210502690551845
2,0.23546813428401947,0.9441448450088501,0.7376441955566406,0.7013687491416931,0.7190492464369707,0.23480038344860077,0.9387519359588623,0.7633135914802551,0.6428189873695374,0.6979035651419289
3,0.23139941692352295,0.9444337487220764,0.7522329092025757,0.70970618724823,0.7303510128552999,0.23317381739616394,0.9387519359588623,0.8494428396224976,0.5833778381347656,0.6917071132358134
4,0.23086336255073547,0.9442411661148071,0.7506550550460815,0.7152793407440186,0.7325403571148709,0.25730642676353455,0.9387519359588623,0.6512827277183533,0.8990923762321472,0.7553827893277939
5,0.23071667551994324,0.9433743953704834,0.7522671222686768,0.7101074457168579,0.7305795606481927,0.3235037624835968,0.9387519359588623,0.6607261896133423,0.8841431140899658,0.756279524028563
6,0.23408444225788116,0.9428929090499878,0.7399972081184387,0.7099736928939819,0.7246746127280853,0.3617076575756073,0.938366711139679,0.5694805383682251,0.9364655613899231,0.7082576357138974
7,0.2317119836807251,0.9433743953704834,0.7569753527641296,0.7052030563354492,0.7301726369610402,0.30050531029701233,0.937596321105957,0.6193804740905762,0.9145755767822266,0.7385742948981137
8,0.23151274025440216,0.9432781338691711,0.747341513633728,0.7175531387329102,0.7321444555032336,0.2400406152009964,0.9387519359588623,0.7033832669258118,0.8102865219116211,0.7530598617098525
9,0.22657345235347748,0.9434707164764404,0.759385347366333,0.7160818576812744,0.7370981454250323,0.2807740271091461,0.938366711139679,0.6518087983131409,0.8978465795516968,0.7552960592999653
10,0.2247527688741684,0.9435670375823975,0.7637431025505066,0.7135850787162781,0.7378126117992183,0.2357594072818756,0.9387519359588623,0.8082840442657471,0.607759416103363,0.6938236749606069
